iter	RMSE
0	0.5524488357
1	0.5323456319
2	0.5126679134
3	0.4942432879
4	0.4774269133
5	0.4609244328
6	0.4461391992
7	0.4318437245
8	0.4178027238
9	0.4038804093
10	0.3911781968
11	0.3798189259
12	0.3680486951
13	0.3568234328
14	0.3464003359
15	0.3363642084
16	0.3272895649
17	0.3186326693
18	0.3106609424
19	0.3030527695
20	0.2958850496
21	0.2888969914
22	0.2825131155
23	0.2765244559
24	0.2704138566
25	0.2646717479
26	0.2591322669
27	0.2540367058
28	0.2495223863
29	0.2449828748
30	0.2407229764
31	0.2365373899
32	0.2325127613
33	0.2286975753
34	0.225076196
35	0.2215005935
36	0.2183867235
37	0.2154459468
38	0.2125695047
39	0.2101784824
40	0.2074462419
41	0.2050714506
42	0.2028416476
43	0.2008174781
44	0.1989886881
45	0.1973385092
46	0.1956571078
47	0.1938294015
48	0.1924202548
49	0.1910565807
50	0.1896862258
51	0.188253787
52	0.1869964822
53	0.1859688369
54	0.1848268072
55	0.1837048086
56	0.1825895316
57	0.1815684223
58	0.1805663209
59	0.1794779562
60	0.178638313
61	0.1778771724
62	0.1769349053
63	0.1761895722
64	0.1755457942
65	0.1749209012
66	0.1742234912
67	0.1734526866
68	0.1728589256
69	0.1723212043
70	0.1716861782
71	0.1709656384
72	0.1705386295
73	0.1700737545
74	0.1696071043
75	0.1691183669
76	0.1685846422
77	0.1681873727
78	0.1677941938
79	0.1674619496
80	0.1670518616
81	0.1665902193
82	0.1663049996
83	0.1658941251
84	0.1654676621
85	0.1652521596
86	0.1649742814
87	0.1647003424
88	0.1643957952
89	0.1641322574
90	0.1637805422
91	0.1633971469
92	0.16307387
93	0.162792074
94	0.1623395665
95	0.1621295616
96	0.161850132
97	0.1615719886
98	0.1610809035
99	0.160758669
100	0.1604956429
101	0.1602518638
102	0.1600118487
103	0.1597756753
104	0.1595434968
105	0.1593963352
106	0.1592246963
107	0.1589784445
108	0.158815176
109	0.1586112534
110	0.1584150241
111	0.1581347183
112	0.1580226071
113	0.1577969127
114	0.157620824
115	0.1574944264
116	0.1572827687
117	0.157065744
118	0.1569226178
119	0.1566578105
120	0.1564793442
121	0.1563317492
122	0.1559972376
123	0.155856241
124	0.155724932
125	0.1555957269
126	0.1553444586
127	0.1552177605
128	0.1551201965
129	0.1550270685
130	0.1548306231
131	0.1546138244
132	0.1544247769
133	0.1542929389
134	0.1541800558
135	0.1540519454
136	0.1538765926
137	0.1537426297
138	0.1536512747
139	0.1534908431
140	0.1533309031
141	0.1532002119
142	0.1530566397
143	0.1529468448
144	0.1527898231
145	0.1525670091
146	0.1523737509
147	0.1522411696
148	0.1520549291
149	0.1519192857
150	0.151841191
151	0.15169963
152	0.1515661099
153	0.1513080328
154	0.151108969
155	0.1509747314
156	0.1508261256
157	0.150762019
158	0.1506854555
159	0.1506029531
160	0.1504399632
161	0.1501098985
162	0.1499319614
163	0.1496423392
164	0.1495884185
165	0.1494929854
166	0.1491435897
167	0.1490650676
168	0.1489503246
169	0.1488846798
170	0.1487296321
171	0.1485314026
172	0.1484249417
173	0.1483577622
174	0.1482365096
175	0.1481342645
176	0.1480299445
177	0.1479370281
178	0.1478534146
179	0.1477880066
180	0.1476584912
181	0.1474711303
182	0.1472883322
183	0.1471893914
184	0.1470427618
185	0.1468923788
186	0.1467446877
187	0.1467099563
188	0.1466471887
189	0.1465155187
190	0.1464830195
191	0.1463540744
192	0.1462368838
193	0.1461846141
194	0.1460526656
195	0.1459024537
196	0.1458000382
197	0.145711363
198	0.1455618327
199	0.1454280115
200	0.1453224767
201	0.1451775334
202	0.1450887937
203	0.1449467434
204	0.1448205678
205	0.1447141527
206	0.144635284
207	0.1445136113
208	0.1444303091
209	0.1442835809
210	0.1442789007
211	0.144166893
212	0.1440777155
213	0.1438989266
214	0.1437400248
215	0.1435632156
216	0.1435175851
217	0.1434062963
218	0.1433996115
219	0.1432814148
220	0.1432770727
221	0.1432101527
222	0.1431696583
223	0.1430368046
224	0.1429929674
225	0.1428485663
226	0.1427103106
227	0.1426246664
228	0.1425153276
229	0.1423756637
230	0.1423433593
231	0.1421745193
232	0.142169813
233	0.142066662
234	0.1420581152
235	0.1420498582
236	0.1420399958
237	0.1419282777
238	0.1419243662
239	0.1418198304
240	0.1418154009
241	0.1417503863
242	0.1416196343
243	0.1414954132
244	0.1414060861
245	0.1413954471
246	0.1412395109
247	0.1411108111
248	0.1409648109
249	0.1408693056
250	0.1407428987
251	0.1407263596
252	0.1406481569
253	0.1405405499
254	0.1403901369
255	0.1403824056
256	0.1403544693
257	0.1403399416
258	0.1402614756
259	0.1401922218
260	0.1400957165
261	0.1400164014
262	0.1398905596
263	0.1397697647
264	0.1397224312
265	0.1396432982
266	0.1395543261
267	0.139550054
268	0.1394469801
269	0.1394100505
270	0.1393714712
271	0.1393586891
272	0.1392861553
273	0.1391552299
274	0.1390727463
275	0.1389884975
276	0.1389100476
277	0.1388650238
278	0.1387692753
279	0.1386601547
280	0.13852931
281	0.1385252418
282	0.1383922581
283	0.1382930389
284	0.1381795701
285	0.1381343205
286	0.1380485875
287	0.1380448055
288	0.1379344232
289	0.1378440074
290	0.1377004127
291	0.1376954434
292	0.1376931163
293	0.1376892291
294	0.1375605611
295	0.137495077
296	0.1374296096
297	0.137339359
298	0.1372694097
299	0.1371964336
300	0.1371924616
301	0.1371875627
302	0.1371837491
303	0.1371113512
304	0.1371067496
305	0.1371030895
306	0.1369921539
307	0.1368858197
308	0.1367263457
309	0.1367220908
310	0.1366312187
311	0.1365300004
312	0.1364130999
313	0.1363297527
314	0.1362438679
315	0.1361563255
