iter	Passed	Remaining
0	74	37321
1	98	24458
2	119	19819
3	144	17946
4	169	16824
5	191	15784
6	212	14986
7	232	14309
8	254	13907
9	276	13553
10	298	13290
11	319	12977
12	339	12703
13	376	13062
14	413	13357
15	469	14191
16	515	14632
17	539	14438
18	564	14284
19	590	14168
20	613	13989
21	657	14283
22	688	14271
23	709	14081
24	730	13872
25	754	13753
26	777	13612
27	834	14069
28	896	14553
29	916	14355
30	934	14135
31	957	14004
32	979	13861
33	1003	13758
34	1037	13781
35	1064	13723
36	1086	13594
37	1108	13478
38	1136	13432
39	1160	13344
40	1181	13225
41	1212	13227
42	1251	13304
43	1289	13368
44	1312	13271
45	1337	13196
46	1359	13102
47	1385	13042
48	1406	12943
49	1427	12846
50	1449	12757
51	1474	12704
52	1503	12680
53	1535	12684
54	1556	12593
55	1580	12529
56	1600	12441
57	1621	12359
58	1645	12300
59	1669	12243
60	1689	12156
61	1708	12069
62	1726	11977
63	1748	11913
64	1766	11821
65	1788	11758
66	1807	11680
67	1828	11618
68	1851	11562
69	1871	11496
70	1893	11440
71	1912	11369
72	1939	11342
73	1962	11295
74	1992	11288
75	2021	11280
76	2057	11302
77	2106	11397
78	2147	11445
79	2186	11480
80	2231	11542
81	2269	11570
82	2307	11592
83	2330	11541
84	2351	11481
85	2370	11413
86	2394	11368
87	2419	11327
88	2440	11271
89	2466	11236
90	2488	11184
91	2521	11183
92	2541	11123
93	2562	11067
94	2583	11015
95	2602	10950
96	2622	10896
97	2644	10848
98	2672	10826
99	2694	10776
100	2713	10720
101	2733	10666
102	2765	10660
103	2804	10677
104	2839	10682
105	2866	10654
106	2925	10746
107	2991	10859
108	3015	10816
109	3037	10770
110	3079	10792
111	3101	10745
112	3120	10685
113	3144	10648
114	3168	10607
115	3192	10568
116	3215	10525
117	3240	10490
118	3287	10526
119	3315	10497
120	3334	10445
121	3357	10404
122	3381	10364
123	3403	10318
124	3427	10283
125	3447	10233
126	3468	10186
127	3493	10152
128	3529	10151
129	3552	10111
130	3577	10076
131	3597	10030
132	3623	9998
133	3644	9953
134	3666	9912
135	3700	9903
136	3720	9858
137	3744	9822
138	3770	9791
139	3790	9747
140	3811	9703
141	3833	9663
142	3852	9618
143	3873	9576
144	3895	9536
145	3917	9498
146	3941	9465
147	3964	9429
148	3989	9397
149	4015	9370
150	4037	9330
151	4059	9295
152	4080	9253
153	4106	9226
154	4128	9188
155	4149	9150
156	4173	9117
157	4194	9079
158	4217	9045
159	4239	9009
160	4265	8981
161	4288	8947
162	4310	8911
163	4334	8879
164	4356	8845
165	4379	8812
166	4403	8779
167	4424	8744
168	4450	8717
169	4473	8684
170	4493	8645
171	4529	8638
172	4550	8601
173	4573	8568
174	4596	8536
175	4623	8512
176	4646	8478
177	4667	8444
178	4690	8411
179	4712	8377
180	4734	8343
181	4756	8311
182	4785	8289
183	4805	8253
184	4828	8222
185	4851	8189
186	4870	8152
187	4891	8116
188	4913	8085
189	4935	8052
190	4959	8024
191	5025	8061
192	5077	8076
193	5101	8046
194	5122	8011
195	5142	7976
196	5164	7943
197	5186	7910
198	5205	7874
199	5227	7841
200	5246	7804
201	5267	7770
202	5286	7734
203	5314	7711
204	5336	7678
205	5357	7646
206	5385	7622
207	5427	7618
208	5474	7622
209	5497	7591
210	5507	7543
211	5535	7519
212	5562	7494
213	5586	7465
214	5611	7438
215	5636	7410
216	5659	7380
217	5680	7347
218	5697	7310
219	5719	7279
220	5729	7232
221	5752	7203
222	5780	7179
223	5799	7146
224	5822	7116
225	5845	7086
226	5866	7054
227	5886	7022
228	5907	6991
229	5930	6961
230	5949	6928
231	5968	6895
232	5991	6866
233	6016	6839
234	6040	6811
235	6067	6787
236	6088	6756
237	6107	6722
238	6127	6691
239	6148	6660
240	6169	6630
241	6188	6598
242	6237	6597
243	6278	6587
244	6298	6555
245	6319	6525
246	6343	6497
247	6363	6466
248	6384	6436
249	6404	6404
250	6421	6370
251	6444	6342
252	6470	6317
253	6493	6289
254	6535	6278
255	6574	6266
256	6597	6238
257	6619	6208
258	6640	6178
259	6661	6149
260	6681	6117
261	6703	6089
262	6725	6060
263	6748	6032
264	6773	6006
265	6793	5976
266	6815	5947
267	6836	5918
268	6857	5888
269	6875	5856
270	6897	5828
271	6920	5801
272	6939	5769
273	6958	5739
274	6983	5713
275	7003	5684
276	7027	5657
277	7064	5641
278	7133	5650
279	7175	5638
280	7196	5608
281	7218	5580
282	7236	5548
283	7264	5525
284	7284	5495
285	7302	5464
286	7322	5434
287	7344	5406
288	7366	5378
289	7389	5350
290	7416	5326
291	7439	5299
292	7462	5271
293	7486	5245
294	7506	5216
295	7531	5190
296	7563	5169
297	7584	5141
298	7605	5113
299	7627	5084
300	7649	5057
301	7677	5033
302	7701	5007
303	7722	4978
304	7745	4952
305	7767	4924
306	7789	4897
307	7808	4867
308	7829	4839
309	7853	4813
310	7877	4787
311	7895	4757
312	7917	4730
313	7936	4701
314	7955	4672
315	7977	4645
316	8000	4618
317	8023	4592
318	8048	4566
319	8070	4539
320	8092	4512
321	8117	4487
322	8139	4460
323	8166	4435
324	8189	4409
325	8220	4387
326	8257	4368
327	8293	4348
328	8314	4321
329	8333	4293
330	8354	4265
331	8374	4237
332	8395	4210
333	8426	4187
334	8448	4161
335	8468	4133
336	8491	4107
337	8535	4090
338	8572	4071
339	8596	4045
340	8621	4019
341	8643	3993
342	8669	3968
343	8716	3952
344	8757	3934
345	8779	3907
346	8800	3880
347	8819	3852
348	8841	3825
349	8862	3798
350	8884	3771
351	8906	3744
352	8935	3720
353	8957	3694
354	8979	3667
355	9003	3642
356	9029	3616
357	9050	3589
358	9069	3562
359	9091	3535
360	9115	3509
361	9146	3486
362	9212	3476
363	9249	3455
364	9295	3438
365	9318	3411
366	9339	3384
367	9363	3358
368	9385	3332
369	9408	3305
370	9435	3280
371	9456	3253
372	9475	3226
373	9501	3201
374	9523	3174
375	9549	3149
376	9582	3126
377	9601	3098
378	9622	3071
379	9647	3046
380	9668	3019
381	9688	2992
382	9709	2966
383	9731	2939
384	9760	2915
385	9784	2889
386	9805	2863
387	9828	2837
388	9848	2810
389	9869	2783
390	9890	2757
391	9912	2731
392	9932	2704
393	9954	2678
394	9974	2651
395	10002	2626
396	10025	2600
397	10046	2574
398	10068	2548
399	10089	2522
400	10110	2496
401	10129	2469
402	10150	2443
403	10172	2417
404	10207	2394
405	10269	2377
406	10294	2352
407	10319	2326
408	10341	2300
409	10363	2274
410	10383	2248
411	10412	2224
412	10452	2201
413	10496	2180
414	10516	2153
415	10540	2128
416	10580	2105
417	10601	2079
418	10627	2054
419	10649	2028
420	10671	2002
421	10693	1976
422	10713	1950
423	10732	1923
424	10754	1897
425	10774	1871
426	10798	1846
427	10823	1820
428	10850	1795
429	10875	1770
430	10898	1744
431	10917	1718
432	10936	1692
433	10958	1666
434	10981	1640
435	11003	1615
436	11024	1589
437	11042	1563
438	11068	1537
439	11089	1512
440	11109	1486
441	11132	1460
442	11151	1434
443	11174	1409
444	11218	1386
445	11259	1363
446	11321	1342
447	11362	1318
448	11402	1295
449	11423	1269
450	11444	1243
451	11465	1217
452	11484	1191
453	11508	1166
454	11535	1140
455	11574	1116
456	11604	1091
457	11638	1067
458	11671	1042
459	11693	1016
460	11721	991
461	11742	965
462	11764	940
463	11790	914
464	11815	889
465	11837	863
466	11861	838
467	11883	812
468	11904	786
469	11927	761
470	11952	735
471	11973	710
472	12005	685
473	12025	659
474	12044	633
475	12067	608
476	12086	582
477	12109	557
478	12149	532
479	12183	507
480	12228	483
481	12282	458
482	12361	435
483	12408	410
484	12448	384
485	12474	359
486	12493	333
487	12522	307
488	12544	282
489	12576	256
490	12601	230
491	12622	205
492	12645	179
493	12676	153
494	12724	128
495	12760	102
496	12787	77
497	12816	51
498	12840	25
499	12861	0
