url,title,price,lat,lon,Балкон,Балкон остеклён,Безопасность,Бывшее общежитие,Возможен обмен,Высота потолков,Год постройки,Город,Дверь,Жилой комплекс,Интернет,Квартира меблирована,Парковка,Площадь,Пол,Санузел,Состояние квартиры,Телефон,Тип дома,Этаж
https://krisha.kz/a/show/1009399736,"2-комнатная квартира · 71 м² · 9/9 этаж, Шамши Калдаяков 14",49500000,51.115264797211,71.474642007945,лоджия,,,нет,Нет,3 м,2026,"Астана, Сарайшык р-н",,Kemenger,,,паркинг,71 м²,,совмещенный,черновая отделка,,кирпичный,9 из 9
https://krisha.kz/a/show/1007781992,"2-комнатная квартира · 46 м² · 5/5 этаж, богенбай батыр 35",19000000,51.176184,71.409813,балкон,,"домофон, видеонаблюдение",,Нет,2.5 м,1970,"Астана, Сарыарка р-н",металлическая,,проводной,полностью,рядом охраняемая стоянка,46 м²,ламинат,совмещенный,,есть возможность подключения,кирпичный,5 из 5
https://krisha.kz/a/show/1012946950,"4-комнатная квартира · 89 м² · 3/5 этаж, Жабаева 12/2",24550000,51.146339269204,71.558193974197,балкон,да,,нет,Нет,2.7 м,2010,"Астана, Алматы р-н",металлическая,Железнодорожный,,полностью,,89 м²,,раздельный,,,монолитный,3 из 5
https://krisha.kz/a/show/1012626568,"1-комнатная квартира · 41 м² · 4/9 этаж, А91 17",25500000,51.119013145903,71.530142464737,балкон,,,нет,Нет,2.7 м,2023,"Астана, Сарайшык р-н",,Saratan,проводной,полностью,паркинг,41 м²,,совмещенный,"не новый, но аккуратный ремонт",есть возможность подключения,монолитный,4 из 9
https://krisha.kz/a/show/697912304,"4-комнатная квартира · 139 м² · 13/22 этаж, Е-308 ул 1",175000000,51.134748373747,71.401211964728,лоджия,,"охрана, домофон, кодовый замок, сигнализация, видеонаблюдение, видеодомофон, консьерж",нет,Нет,2.95 м,2025,"Астана, Есильский р-н",,W Towers,,,паркинг,139 м²,,2 с/у и более,черновая отделка,,монолитный,13 из 22
https://krisha.kz/a/show/698086965,"3-комнатная квартира · 81 м² · 8/12 этаж, Е-36 5",47500000,51.12119409847,71.380780250572,лоджия,да,"домофон, видеонаблюдение",нет,Нет,3 м,2024,"Астана, Нура р-н",металлическая,Respublika,,,паркинг,81 м²,,2 с/у и более,черновая отделка,,монолитный,8 из 12
https://krisha.kz/a/show/1011089633,"1-комнатная квартира · 41 м² · 10/12 этаж, проспект Кабанбай батыра 57",24900000,51.078984328523,71.397632,лоджия,,,нет,Нет,3 м,2026,"Астана, Есильский р-н",,Alatau Plaza Residence,,,паркинг,41 м²,,совмещенный,черновая отделка,,монолитный,10 из 12
https://krisha.kz/a/show/693927418,"2-комнатная квартира · 61 м² · 4/12 этаж, Е-36 5",37500000,51.121227782684,71.380668287237,лоджия,,"домофон, кодовый замок, видеонаблюдение, видеодомофон",нет,Нет,3 м,2024,"Астана, Нура р-н",металлическая,Respublika,,,паркинг,61 м²,,совмещенный,черновая отделка,,монолитный,4 из 12
https://krisha.kz/a/show/693927481,"2-комнатная квартира · 71 м² · 8/18 этаж, Е-36 5",41500000,51.120927320566,71.382890857947,лоджия,,"домофон, кодовый замок, видеонаблюдение, видеодомофон",нет,Нет,3 м,2024,"Астана, Нура р-н",,,,,паркинг,71 м²,,совмещенный,черновая отделка,,монолитный,8 из 18
https://krisha.kz/a/show/1007543262,"2-комнатная квартира · 59 м² · 3/12 этаж, Жубан Молдагалиев 3",40500000,51.126433730996,71.363986730466,лоджия,,,нет,Нет,3 м,2025,"Астана, Нура р-н",,Delta,,,паркинг,59 м²,,совмещенный,черновая отделка,,монолитный,3 из 12
https://krisha.kz/a/show/1012548471,"2-комнатная квартира · 61.4 м² · 5/12 этаж, Пересечение ул Казыбек Би и Е75,Е77 (рядом с пересечением улиц Туран и Улы дала) 40",35500000,51.090647,71.45277,,,,,Нет,3 м,2026,"Астана, Нура р-н",,Gala One,,,паркинг,61.4 м²,,,,,кирпичный,5 из 12
https://krisha.kz/a/show/697912069,"2-комнатная квартира · 58 м² · 12/19 этаж, Е-308 1",76000000,51.135158277023,71.399582388439,,,"охрана, домофон, кодовый замок, сигнализация, видеонаблюдение, видеодомофон, консьерж",нет,Нет,2.95 м,2025,"Астана, Есильский р-н",,W Towers,,,паркинг,58 м²,,совмещенный,черновая отделка,,монолитный,12 из 19
https://krisha.kz/a/show/1012947254,"1-комнатная квартира · 48.5 м² · 13/15 этаж, Тлендиева 46",21550000,51.193976883296,71.326639769176,балкон,да,,нет,Нет,3 м,2014,"Астана, Сарыарка р-н",металлическая,Жети Жол,,полностью,,48.5 м²,,совмещенный,,,кирпичный,13 из 15
https://krisha.kz/a/show/1012947325,"1-комнатная квартира · 39 м² · 6/9 этаж, Улы Дала 67, 69, 15, 15/1, 17, 17/1, 2, 4, 6, 40 — Аль Фараби",27000000,51.093480638808,71.445667108783,лоджия,да,,нет,Нет,2.7 м,2015,"Астана, Есильский р-н",металлическая,Арнау,,полностью,паркинг,39 м²,,совмещенный,,,кирпичный,6 из 9
https://krisha.kz/a/show/695210590,"3-комнатная квартира · 81 м² · 6/18 этаж, Е-36 5",44900000,51.125201730516,71.384544187491,лоджия,,,нет,Нет,3 м,2024,"Астана, Нура р-н",,Respublika,,,паркинг,81 м²,,2 с/у и более,,,монолитный,6 из 18
